nanoparticle,type_organic_inorganic,coat,diameter,dose,zeta_potential,cell_line,cell_line_or_primary,human_or_animal,animal_species,cell_morphology,cell_age_embryonic_or_adult,cell_organ_or_tissue,exposure_time,test_assay,test_indicator,biochemical_metric,cell_viability,inference_checked_y_n,colloidal_stability_checked_y_n,positive_control_y_n,publication_year,particle_id,reference_doi,row_num
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,98.2479,Y,N,N,2012,19,10.1186/1556-276X-7-77,406
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,98.80087,Y,N,N,2012,19,10.1186/1556-276X-7-77,407
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,81.53774,Y,N,N,2012,19,10.1186/1556-276X-7-77,408
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,90.13358,Y,N,N,2012,19,10.1186/1556-276X-7-77,409
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,82.64213,Y,N,N,2012,19,10.1186/1556-276X-7-77,410
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,Live/Dead,trypan blue,cell membrane integrity,96.38087,Y,N,N,2012,19,10.1186/1556-276X-7-77,411
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,Live/Dead,trypan blue,cell membrane integrity,84.86487,Y,N,N,2012,19,10.1186/1556-276X-7-77,412
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,Live/Dead,trypan blue,cell membrane integrity,76.22088,Y,N,N,2012,19,10.1186/1556-276X-7-77,413
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,Live/Dead,trypan blue,cell membrane integrity,75.62442,Y,N,N,2012,19,10.1186/1556-276X-7-77,414
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,Live/Dead,trypan blue,cell membrane integrity,67.556694,Y,N,N,2012,19,10.1186/1556-276X-7-77,415
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,92.78658,Y,N,N,2012,19,10.1186/1556-276X-7-77,416
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,82.42156,Y,N,N,2012,19,10.1186/1556-276X-7-77,417
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,77.225845,Y,N,N,2012,19,10.1186/1556-276X-7-77,418
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,62.261574,Y,N,N,2012,19,10.1186/1556-276X-7-77,419
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,120,Live/Dead,trypan blue,cell membrane integrity,63.3877,Y,N,N,2012,19,10.1186/1556-276X-7-77,420
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,74.254425,Y,N,N,2012,19,10.1186/1556-276X-7-77,421
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,68.484,Y,N,N,2012,19,10.1186/1556-276X-7-77,422
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,59.84001,Y,N,N,2012,19,10.1186/1556-276X-7-77,423
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,46.02516,Y,N,N,2012,19,10.1186/1556-276X-7-77,424
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,168,Live/Dead,trypan blue,cell membrane integrity,39.68158,Y,N,N,2012,19,10.1186/1556-276X-7-77,425
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,88.389831,Y,N,N,2012,19,10.1186/1556-276X-7-77,426
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,88.389831,Y,N,N,2012,19,10.1186/1556-276X-7-77,427
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,88.389831,Y,N,N,2012,19,10.1186/1556-276X-7-77,428
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,88.389831,Y,N,N,2012,19,10.1186/1556-276X-7-77,429
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,1,LDH,LDH activity assay kit,LDH leakage,87.118644,Y,N,N,2012,19,10.1186/1556-276X-7-77,430
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,75.254238,Y,N,N,2012,19,10.1186/1556-276X-7-77,431
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,76.949152,Y,N,N,2012,19,10.1186/1556-276X-7-77,432
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,78.220339,Y,N,N,2012,19,10.1186/1556-276X-7-77,433
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,77.79661,Y,N,N,2012,19,10.1186/1556-276X-7-77,434
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,4,LDH,LDH activity assay kit,LDH leakage,75.677965,Y,N,N,2012,19,10.1186/1556-276X-7-77,435
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,66.77966,Y,N,N,2012,19,10.1186/1556-276X-7-77,436
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,65.932205,Y,N,N,2012,19,10.1186/1556-276X-7-77,437
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,65.932205,Y,N,N,2012,19,10.1186/1556-276X-7-77,438
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,64.23729,Y,N,N,2012,19,10.1186/1556-276X-7-77,439
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,LDH,LDH activity assay kit,LDH leakage,57.457626,Y,N,N,2012,19,10.1186/1556-276X-7-77,440
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,53.64407,Y,N,N,2012,19,10.1186/1556-276X-7-77,441
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,48.559322,Y,N,N,2012,19,10.1186/1556-276X-7-77,442
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,49.74576,Y,N,N,2012,19,10.1186/1556-276X-7-77,443
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,49.83051,Y,N,N,2012,19,10.1186/1556-276X-7-77,444
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,LDH,LDH activity assay kit,LDH leakage,47.288136,Y,N,N,2012,19,10.1186/1556-276X-7-77,445
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,95.4700856,Y,N,N,2012,19,10.1186/1556-276X-7-77,446
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,95.042735,Y,N,N,2012,19,10.1186/1556-276X-7-77,447
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,95.042735,Y,N,N,2012,19,10.1186/1556-276X-7-77,448
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,94.188034,Y,N,N,2012,19,10.1186/1556-276X-7-77,449
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,1,LDH,LDH activity assay kit,LDH leakage,94.188034,Y,N,N,2012,19,10.1186/1556-276X-7-77,450
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,93.7606835,Y,N,N,2012,19,10.1186/1556-276X-7-77,451
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,95.042735,Y,N,N,2012,19,10.1186/1556-276X-7-77,452
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,95.4700856,Y,N,N,2012,19,10.1186/1556-276X-7-77,453
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,95.042735,Y,N,N,2012,19,10.1186/1556-276X-7-77,454
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,4,LDH,LDH activity assay kit,LDH leakage,94.188034,Y,N,N,2012,19,10.1186/1556-276X-7-77,455
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,93.7606835,Y,N,N,2012,19,10.1186/1556-276X-7-77,456
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,94.188034,Y,N,N,2012,19,10.1186/1556-276X-7-77,457
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,94.188034,Y,N,N,2012,19,10.1186/1556-276X-7-77,458
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,94.188034,Y,N,N,2012,19,10.1186/1556-276X-7-77,459
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,LDH,LDH activity assay kit,LDH leakage,94.6153846,Y,N,N,2012,19,10.1186/1556-276X-7-77,460
Iron oxide,I,PEI,145.8,0.0000003046292313,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,93.7606835,Y,N,N,2012,19,10.1186/1556-276X-7-77,461
Iron oxide,I,PEI,145.8,0.0000006102348383,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,93.7606835,Y,N,N,2012,19,10.1186/1556-276X-7-77,462
Iron oxide,I,PEI,145.8,0.000001220469677,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,93.7606835,Y,N,N,2012,19,10.1186/1556-276X-7-77,463
Iron oxide,I,PEI,145.8,0.000002440939353,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,92.4786325,Y,N,N,2012,19,10.1186/1556-276X-7-77,464
Iron oxide,I,PEI,145.8,0.000004881878707,17.7,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,LDH,LDH activity assay kit,LDH leakage,92.4786325,Y,N,N,2012,19,10.1186/1556-276X-7-77,465
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,MTS,tetrazolium salt,cell metabolic activity,95.91124,Y,N,N,2012,19,10.1186/1556-276X-7-77,466
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,MTS,tetrazolium salt,cell metabolic activity,101.437775,Y,N,N,2012,19,10.1186/1556-276X-7-77,467
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,MTS,tetrazolium salt,cell metabolic activity,114.38183,Y,N,N,2012,19,10.1186/1556-276X-7-77,468
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,MTS,tetrazolium salt,cell metabolic activity,162.86815,Y,N,N,2012,19,10.1186/1556-276X-7-77,469
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,MTS,tetrazolium salt,cell metabolic activity,163.80347,Y,N,N,2012,19,10.1186/1556-276X-7-77,470
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,240.88625,Y,N,N,2012,19,10.1186/1556-276X-7-77,471
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,248.2997,Y,N,N,2012,19,10.1186/1556-276X-7-77,472
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,323.37766,Y,N,N,2012,19,10.1186/1556-276X-7-77,473
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,401.9854,Y,N,N,2012,19,10.1186/1556-276X-7-77,474
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,404.8117,Y,N,N,2012,19,10.1186/1556-276X-7-77,475
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,103.43855,Y,N,N,2012,19,10.1186/1556-276X-7-77,476
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,88.25786,Y,N,N,2012,19,10.1186/1556-276X-7-77,477
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,63.54501,Y,N,N,2012,19,10.1186/1556-276X-7-77,478
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,21.650686,Y,N,N,2012,19,10.1186/1556-276X-7-77,479
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,CellTiter-Blue,Alamar blue,cell metabolic activity,24.476988,Y,N,N,2012,19,10.1186/1556-276X-7-77,480
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,MTS,tetrazolium salt,cell metabolic activity,100.04899,Y,N,N,2012,19,10.1186/1556-276X-7-77,481
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,MTS,tetrazolium salt,cell metabolic activity,93.75041,Y,N,N,2012,19,10.1186/1556-276X-7-77,482
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,MTS,tetrazolium salt,cell metabolic activity,85.119865,Y,N,N,2012,19,10.1186/1556-276X-7-77,483
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,MTS,tetrazolium salt,cell metabolic activity,100.39683,Y,N,N,2012,19,10.1186/1556-276X-7-77,484
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,MTS,tetrazolium salt,cell metabolic activity,129.36508,Y,N,N,2012,19,10.1186/1556-276X-7-77,485
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,104.809265,Y,N,N,2012,19,10.1186/1556-276X-7-77,486
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,110.41544,Y,N,N,2012,19,10.1186/1556-276X-7-77,487
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,115.27696,Y,N,N,2012,19,10.1186/1556-276X-7-77,488
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,108.333336,Y,N,N,2012,19,10.1186/1556-276X-7-77,489
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,107.93651,Y,N,N,2012,19,10.1186/1556-276X-7-77,490
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,96.080734,Y,N,N,2012,19,10.1186/1556-276X-7-77,491
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,86.60592,Y,N,N,2012,19,10.1186/1556-276X-7-77,492
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,75.59442,Y,N,N,2012,19,10.1186/1556-276X-7-77,493
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,73.4127,Y,N,N,2012,19,10.1186/1556-276X-7-77,494
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,72,CellTiter-Blue,Alamar blue,cell metabolic activity,73.809525,Y,N,N,2012,19,10.1186/1556-276X-7-77,495
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,Live/Dead,trypan blue,cell membrane integrity,95.480225,Y,N,N,2012,19,10.1186/1556-276X-7-77,496
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,Live/Dead,trypan blue,cell membrane integrity,64.40678,Y,N,N,2012,19,10.1186/1556-276X-7-77,497
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,Live/Dead,trypan blue,cell membrane integrity,57.062145,Y,N,N,2012,19,10.1186/1556-276X-7-77,498
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,Live/Dead,trypan blue,cell membrane integrity,56.497173,Y,N,N,2012,19,10.1186/1556-276X-7-77,499
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,24,Live/Dead,trypan blue,cell membrane integrity,55.932205,Y,N,N,2012,19,10.1186/1556-276X-7-77,500
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,Live/Dead,trypan blue,cell membrane integrity,61.01695,Y,N,N,2012,19,10.1186/1556-276X-7-77,501
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,Live/Dead,trypan blue,cell membrane integrity,37.288136,Y,N,N,2012,19,10.1186/1556-276X-7-77,502
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,Live/Dead,trypan blue,cell membrane integrity,23.728813,Y,N,N,2012,19,10.1186/1556-276X-7-77,503
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,Live/Dead,trypan blue,cell membrane integrity,13.559322,Y,N,N,2012,19,10.1186/1556-276X-7-77,504
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,72,Live/Dead,trypan blue,cell membrane integrity,2.8248587,Y,N,N,2012,19,10.1186/1556-276X-7-77,505
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,120,Live/Dead,trypan blue,cell membrane integrity,56.497173,Y,N,N,2012,19,10.1186/1556-276X-7-77,506
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,120,Live/Dead,trypan blue,cell membrane integrity,33.898304,Y,N,N,2012,19,10.1186/1556-276X-7-77,507
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,120,Live/Dead,trypan blue,cell membrane integrity,17.514124,Y,N,N,2012,19,10.1186/1556-276X-7-77,508
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,120,Live/Dead,trypan blue,cell membrane integrity,10.169492,Y,N,N,2012,19,10.1186/1556-276X-7-77,509
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,120,Live/Dead,trypan blue,cell membrane integrity,3.9548023,Y,N,N,2012,19,10.1186/1556-276X-7-77,510
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,168,Live/Dead,trypan blue,cell membrane integrity,38.41808,Y,N,N,2012,19,10.1186/1556-276X-7-77,511
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,168,Live/Dead,trypan blue,cell membrane integrity,28.248587,Y,N,N,2012,19,10.1186/1556-276X-7-77,512
Iron oxide,I,PEG to the PEI,361.4,0.00000008013737654,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,168,Live/Dead,trypan blue,cell membrane integrity,14.124293,Y,N,N,2012,19,10.1186/1556-276X-7-77,513
Iron oxide,I,PEG to the PEI,361.4,0.0000001602747531,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,168,Live/Dead,trypan blue,cell membrane integrity,0,Y,N,N,2012,19,10.1186/1556-276X-7-77,514
Iron oxide,I,PEG to the PEI,361.4,0.0000003205495062,12.1,SH-SY5Y,L,H,,Epithelial,A,Bone Marrow,168,Live/Dead,trypan blue,cell membrane integrity,0,Y,N,N,2012,19,10.1186/1556-276X-7-77,515
Iron oxide,I,PEG to the PEI,361.4,0.00000002000228918,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,100.568184,Y,N,N,2012,19,10.1186/1556-276X-7-77,516
Iron oxide,I,PEG to the PEI,361.4,0.00000004006868827,12.1,RAW 264.7,L,A,Mouse,Monocyte/Macrophage,A,Blood,24,Live/Dead,trypan blue,cell membrane integrity,84.09091,Y,N,N,2012,19,10.1186/1556-276X-7-77,517
